,playerName,player_age,player_bio,player_debute,player_dob,player_from,player_image,player_nba_years,player_position,player_previous
0,Lonzo Ball,21,http://www.nba.com/players/lonzo/ball/1628366,2017,10/27/1997,California-Los Angeles,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png,1,Guard  ,
1,Michael Beasley,29,http://www.nba.com/players/michael/beasley/201563,2008,01/09/1989,Kansas State,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201563.png,10,Forward  ,-18MIL 2016-17HOU 2015-16MIA 2013-15PHX 2012-13MIN 201
2,Isaac Bonga,18,http://www.nba.com/players/isaac/bonga/1629067,—,11/08/1999,—,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png,0,Guard  ,—
3,Kentavious Caldwell-Pope,25,http://www.nba.com/players/kentavious/caldwell-pope/203484,2013,02/18/1993,Georgia,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png,5,Guard  ,
4,Alex Caruso,24,http://www.nba.com/players/alex/caruso/1627936,2017,02/28/1994,Texas A&M,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,1,Guard  ,
5,Josh Hart,23,http://www.nba.com/players/josh/hart/1628404,2017,03/06/1995,Villanova,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png,1,Guard  ,
6,Brandon Ingram,21,http://www.nba.com/players/brandon/ingram/1627742,2016,09/02/1997,Duke,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,2,Forward  ,
7,LeBron James,33,http://www.nba.com/players/lebron/james/2544,2003,12/30/1984,St. Vincent-St. Mary HS (OH),//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png,15,Forward  ,-18MIA 201
8,Kyle Kuzma,23,http://www.nba.com/players/kyle/kuzma/1628398,2017,07/24/1995,Utah,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png,1,Forward  ,
9,JaVale McGee,30,http://www.nba.com/players/javale/mcgee/201580,2008,01/19/1988,Nevada,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201580.png,10,Center  ,-18DAL 2015-16PHI 2014-15DEN 201
10,Svi Mykhailiuk,21,http://www.nba.com/players/svi/mykhailiuk/1629004,2018,06/10/1997,Kansas,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629004.png,0,Guard  ,
11,Rajon Rondo,32,http://www.nba.com/players/rajon/rondo/200765,2006,02/22/1986,Kentucky,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200765.png,12,Guard  ,-18CHI 2016-17SAC 2015-16DAL 201
12,Lance Stephenson,28,http://www.nba.com/players/lance/stephenson/202362,2010,09/05/1990,Cincinnati,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202362.png,8,Guard  ,-18MIN 2016-17NOP 2016-17MEM 2015-16LAC 2015-16CHA 201
13,Moritz Wagner,21,http://www.nba.com/players/moritz/wagner/1629021,—,04/26/1997,Michigan,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629021.png,0,Center  ,
14,Johnathan Williams,23,http://www.nba.com/players/johnathan/williams/1629140,2018,05/22/1995,Gonzaga,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629140.png,0,Forward  ,
15,Ivica Zubac,21,http://www.nba.com/players/ivica/zubac/1627826,2016,03/18/1997,—,//ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627826.png,2,Center  ,
